w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
2.200, 3.0 | 1.539 | 0.798 | 0.790
2.200, 4.0 | 1.534 | 0.799 | 0.786
2.200, 5.0 | 1.530 | 0.799 | 0.781
2.200, 6.0 | 1.526 | 0.798 | 0.777
2.200, 7.0 | 1.522 | 0.798 | 0.774
2.200, 8.0 | 1.519 | 0.798 | 0.771
2.200, 9.0 | 1.515 | 0.797 | 0.769
2.200, 10.0 | 1.513 | 0.796 | 0.767
2.200, 11.0 | 1.510 | 0.795 | 0.765
2.200, 12.0 | 1.507 | 0.794 | 0.763
2.200, 13.0 | 1.505 | 0.793 | 0.763
2.200, 14.0 | 1.504 | 0.792 | 0.762
2.200, 15.0 | 1.502 | 0.790 | 0.762
2.200, 16.0 | 1.501 | 0.789 | 0.762
2.200, 17.0 | 1.500 | 0.788 | 0.762
2.200, 18.0 | 1.499 | 0.787 | 0.762
2.200, 19.0 | 1.499 | 0.786 | 0.763
2.200, 20.0 | 1.498 | 0.785 | 0.763
2.300, 0.0 | 1.615 | 0.791 | 0.874
2.300, 1.0 | 1.611 | 0.790 | 0.870
2.300, 2.0 | 1.606 | 0.790 | 0.866
2.300, 3.0 | 1.602 | 0.790 | 0.862
2.300, 4.0 | 1.598 | 0.789 | 0.858
2.300, 5.0 | 1.594 | 0.789 | 0.855
2.300, 6.0 | 1.591 | 0.789 | 0.851
2.300, 7.0 | 1.587 | 0.789 | 0.848
2.300, 8.0 | 1.584 | 0.790 | 0.845
2.300, 9.0 | 1.581 | 0.790 | 0.841
2.300, 10.0 | 1.579 | 0.790 | 0.839
2.300, 11.0 | 1.577 | 0.791 | 0.836
2.300, 12.0 | 1.574 | 0.792 | 0.833
2.300, 13.0 | 1.573 | 0.792 | 0.830
2.300, 14.0 | 1.571 | 0.793 | 0.828
2.300, 15.0 | 1.570 | 0.795 | 0.825
2.300, 16.0 | 1.569 | 0.796 | 0.822
2.300, 17.0 | 1.568 | 0.798 | 0.819
2.300, 18.0 | 1.567 | 0.801 | 0.816
2.300, 19.0 | 1.567 | 0.804 | 0.813
2.300, 20.0 | 1.567 | 0.807 | 0.809
2.400, 0.0 | 1.678 | 0.772 | 0.956
2.400, 1.0 | 1.673 | 0.772 | 0.951
2.400, 2.0 | 1.670 | 0.773 | 0.946
2.400, 3.0 | 1.666 | 0.774 | 0.942
2.400, 4.0 | 1.662 | 0.775 | 0.937
2.400, 5.0 | 1.659 | 0.776 | 0.933
2.400, 6.0 | 1.656 | 0.777 | 0.929
2.400, 7.0 | 1.653 | 0.778 | 0.925
2.400, 8.0 | 1.650 | 0.779 | 0.921
2.400, 9.0 | 1.648 | 0.780 | 0.918
2.400, 10.0 | 1.646 | 0.781 | 0.914
2.400, 11.0 | 1.643 | 0.782 | 0.912
2.400, 12.0 | 1.642 | 0.782 | 0.909
2.400, 13.0 | 1.640 | 0.783 | 0.907
2.400, 14.0 | 1.639 | 0.783 | 0.906
2.400, 15.0 | 1.637 | 0.783 | 0.904
2.400, 16.0 | 1.636 | 0.783 | 0.903
2.400, 17.0 | 1.636 | 0.783 | 0.903
2.400, 18.0 | 1.635 | 0.783 | 0.903
2.400, 19.0 | 1.635 | 0.782 | 0.903
2.400, 20.0 | 1.635 | 0.782 | 0.903
2.500, 0.0 | 1.741 | 0.780 | 1.011
2.500, 1.0 | 1.737 | 0.779 | 1.008
2.500, 2.0 | 1.734 | 0.779 | 1.004
2.500, 3.0 | 1.730 | 0.779 | 1.001
2.500, 4.0 | 1.727 | 0.779 | 0.998
2.500, 5.0 | 1.724 | 0.779 | 0.996
2.500, 6.0 | 1.722 | 0.779 | 0.993
2.500, 7.0 | 1.719 | 0.779 | 0.990
2.500, 8.0 | 1.717 | 0.779 | 0.988
2.500, 9.0 | 1.714 | 0.778 | 0.986
2.500, 10.0 | 1.712 | 0.778 | 0.984
2.500, 11.0 | 1.711 | 0.778 | 0.982
2.500, 12.0 | 1.709 | 0.778 | 0.981
2.500, 13.0 | 1.707 | 0.778 | 0.979
2.500, 14.0 | 1.706 | 0.778 | 0.978
2.500, 15.0 | 1.705 | 0.778 | 0.977
2.500, 16.0 | 1.704 | 0.778 | 0.976
2.500, 17.0 | 1.704 | 0.778 | 0.976
2.500, 18.0 | 1.703 | 0.778 | 0.975
2.500, 19.0 | 1.703 | 0.778 | 0.975
2.500, 20.0 | 1.703 | 0.778 | 0.975
2.600, 0.0 | 1.805 | 0.790 | 1.065
2.600, 1.0 | 1.802 | 0.789 | 1.062
2.600, 2.0 | 1.798 | 0.789 | 1.060
2.600, 3.0 | 1.795 | 0.788 | 1.057
2.600, 4.0 | 1.793 | 0.788 | 1.055
2.600, 5.0 | 1.790 | 0.788 | 1.052
2.600, 6.0 | 1.788 | 0.788 | 1.050
2.600, 7.0 | 1.785 | 0.787 | 1.048
2.600, 8.0 | 1.783 | 0.787 | 1.046
2.600, 9.0 | 1.781 | 0.787 | 1.044
2.600, 10.0 | 1.779 | 0.787 | 1.043
2.600, 11.0 | 1.778 | 0.787 | 1.041
2.600, 12.0 | 1.776 | 0.786 | 1.040
2.600, 13.0 | 1.775 | 0.786 | 1.039
2.600, 14.0 | 1.774 | 0.786 | 1.038
2.600, 15.0 | 1.773 | 0.786 | 1.037
2.600, 16.0 | 1.772 | 0.786 | 1.036
2.600, 17.0 | 1.772 | 0.786 | 1.035
2.600, 18.0 | 1.771 | 0.786 | 1.035
2.600, 19.0 | 1.771 | 0.786 | 1.035
2.600, 20.0 | 1.771 | 0.786 | 1.034
2.700, 0.0 | 1.869 | 0.802 | 1.117
2.700, 1.0 | 1.866 | 0.802 | 1.115
2.700, 2.0 | 1.864 | 0.801 | 1.112
2.700, 3.0 | 1.861 | 0.801 | 1.110
2.700, 4.0 | 1.858 | 0.800 | 1.108
2.700, 5.0 | 1.856 | 0.800 | 1.106
2.700, 6.0 | 1.854 | 0.800 | 1.104
2.700, 7.0 | 1.852 | 0.800 | 1.102
2.700, 8.0 | 1.850 | 0.799 | 1.101
2.700, 9.0 | 1.848 | 0.799 | 1.099
2.700, 10.0 | 1.847 | 0.799 | 1.098
2.700, 11.0 | 1.845 | 0.799 | 1.096
2.700, 12.0 | 1.844 | 0.799 | 1.095
2.700, 13.0 | 1.843 | 0.799 | 1.094
2.700, 14.0 | 1.842 | 0.799 | 1.093
2.700, 15.0 | 1.841 | 0.799 | 1.092
2.700, 16.0 | 1.840 | 0.799 | 1.092
2.700, 17.0 | 1.840 | 0.799 | 1.091
2.700, 18.0 | 1.839 | 0.799 | 1.091
2.700, 19.0 | 1.839 | 0.799 | 1.090
2.700, 20.0 | 1.839 | 0.799 | 1.090
2.800, 0.0 | 1.934 | 0.817 | 1.167
2.800, 1.0 | 1.932 | 0.816 | 1.165
2.800, 2.0 | 1.929 | 0.816 | 1.163
2.800, 3.0 | 1.927 | 0.816 | 1.161
2.800, 4.0 | 1.925 | 0.815 | 1.159
2.800, 5.0 | 1.922 | 0.815 | 1.157
2.800, 6.0 | 1.920 | 0.815 | 1.156
2.800, 7.0 | 1.919 | 0.815 | 1.154
2.800, 8.0 | 1.917 | 0.814 | 1.153
2.800, 9.0 | 1.915 | 0.814 | 1.151
2.800, 10.0 | 1.914 | 0.814 | 1.150
2.800, 11.0 | 1.913 | 0.814 | 1.149
2.800, 12.0 | 1.911 | 0.814 | 1.148
2.800, 13.0 | 1.910 | 0.814 | 1.147
2.800, 14.0 | 1.910 | 0.814 | 1.146
2.800, 15.0 | 1.909 | 0.814 | 1.145
2.800, 16.0 | 1.908 | 0.814 | 1.144
2.800, 17.0 | 1.908 | 0.814 | 1.144
2.800, 18.0 | 1.907 | 0.814 | 1.143
2.800, 19.0 | 1.907 | 0.814 | 1.143
2.800, 20.0 | 1.907 | 0.815 | 1.143
2.900, 0.0 | 2.000 | 0.834 | 1.216
2.900, 1.0 | 1.997 | 0.834 | 1.214
2.900, 2.0 | 1.995 | 0.833 | 1.212
2.900, 3.0 | 1.993 | 0.833 | 1.210
