w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
3.200, 0.0 | 2.198 | 0.860 | 0.492
3.200, 1.0 | 2.196 | 0.859 | 0.494
3.200, 2.0 | 2.194 | 0.859 | 0.496
3.200, 3.0 | 2.193 | 0.859 | 0.498
3.200, 4.0 | 2.191 | 0.859 | 0.500
3.200, 5.0 | 2.190 | 0.859 | 0.502
3.200, 6.0 | 2.189 | 0.858 | 0.503
3.200, 7.0 | 2.187 | 0.858 | 0.504
3.200, 8.0 | 2.186 | 0.858 | 0.506
3.200, 9.0 | 2.185 | 0.858 | 0.507
3.200, 10.0 | 2.184 | 0.858 | 0.508
3.200, 11.0 | 2.183 | 0.858 | 0.509
3.200, 12.0 | 2.182 | 0.858 | 0.509
3.200, 13.0 | 2.182 | 0.858 | 0.510
3.200, 14.0 | 2.181 | 0.858 | 0.510
3.200, 15.0 | 2.181 | 0.858 | 0.511
3.200, 16.0 | 2.180 | 0.859 | 0.511
3.200, 17.0 | 2.180 | 0.859 | 0.511
3.200, 18.0 | 2.180 | 0.859 | 0.511
3.200, 19.0 | 2.180 | 0.859 | 0.511
3.200, 20.0 | 2.180 | 0.860 | 0.511
3.210, 0.0 | 2.204 | 0.862 | 0.484
3.210, 1.0 | 2.203 | 0.862 | 0.486
3.210, 2.0 | 2.201 | 0.861 | 0.487
3.210, 3.0 | 2.199 | 0.861 | 0.489
3.210, 4.0 | 2.198 | 0.861 | 0.491
3.210, 5.0 | 2.197 | 0.861 | 0.493
3.210, 6.0 | 2.195 | 0.861 | 0.494
3.210, 7.0 | 2.194 | 0.861 | 0.495
3.210, 8.0 | 2.193 | 0.861 | 0.497
3.210, 9.0 | 2.192 | 0.860 | 0.498
3.210, 10.0 | 2.191 | 0.860 | 0.499
3.210, 11.0 | 2.190 | 0.860 | 0.500
3.210, 12.0 | 2.189 | 0.860 | 0.500
3.210, 13.0 | 2.189 | 0.861 | 0.501
3.210, 14.0 | 2.188 | 0.861 | 0.501
3.210, 15.0 | 2.187 | 0.861 | 0.502
3.210, 16.0 | 2.187 | 0.861 | 0.502
3.210, 17.0 | 2.187 | 0.861 | 0.502
3.210, 18.0 | 2.187 | 0.861 | 0.502
3.210, 19.0 | 2.186 | 0.862 | 0.502
3.210, 20.0 | 2.186 | 0.862 | 0.502
3.220, 0.0 | 2.211 | 0.864 | 0.475
3.220, 1.0 | 2.209 | 0.864 | 0.477
3.220, 2.0 | 2.208 | 0.864 | 0.479
3.220, 3.0 | 2.206 | 0.863 | 0.480
3.220, 4.0 | 2.205 | 0.863 | 0.482
3.220, 5.0 | 2.203 | 0.863 | 0.484
3.220, 6.0 | 2.202 | 0.863 | 0.485
3.220, 7.0 | 2.201 | 0.863 | 0.486
3.220, 8.0 | 2.200 | 0.863 | 0.488
3.220, 9.0 | 2.199 | 0.863 | 0.489
3.220, 10.0 | 2.198 | 0.863 | 0.490
3.220, 11.0 | 2.197 | 0.863 | 0.490
3.220, 12.0 | 2.196 | 0.863 | 0.491
3.220, 13.0 | 2.195 | 0.863 | 0.492
3.220, 14.0 | 2.195 | 0.863 | 0.492
3.220, 15.0 | 2.194 | 0.863 | 0.493
3.220, 16.0 | 2.194 | 0.863 | 0.493
3.220, 17.0 | 2.194 | 0.863 | 0.493
3.220, 18.0 | 2.193 | 0.864 | 0.493
3.220, 19.0 | 2.193 | 0.864 | 0.493
3.220, 20.0 | 2.193 | 0.864 | 0.493
3.230, 0.0 | 2.218 | 0.867 | 0.466
3.230, 1.0 | 2.216 | 0.866 | 0.468
3.230, 2.0 | 2.214 | 0.866 | 0.470
3.230, 3.0 | 2.213 | 0.866 | 0.471
3.230, 4.0 | 2.211 | 0.866 | 0.473
3.230, 5.0 | 2.210 | 0.865 | 0.475
3.230, 6.0 | 2.209 | 0.865 | 0.476
3.230, 7.0 | 2.208 | 0.865 | 0.477
3.230, 8.0 | 2.206 | 0.865 | 0.479
3.230, 9.0 | 2.205 | 0.865 | 0.480
3.230, 10.0 | 2.204 | 0.865 | 0.481
3.230, 11.0 | 2.204 | 0.865 | 0.481
3.230, 12.0 | 2.203 | 0.865 | 0.482
3.230, 13.0 | 2.202 | 0.865 | 0.483
3.230, 14.0 | 2.202 | 0.865 | 0.483
3.230, 15.0 | 2.201 | 0.865 | 0.484
3.230, 16.0 | 2.201 | 0.866 | 0.484
3.230, 17.0 | 2.200 | 0.866 | 0.484
3.230, 18.0 | 2.200 | 0.866 | 0.484
3.230, 19.0 | 2.200 | 0.866 | 0.484
3.230, 20.0 | 2.200 | 0.867 | 0.483
3.240, 0.0 | 2.224 | 0.869 | 0.457
3.240, 1.0 | 2.223 | 0.869 | 0.459
3.240, 2.0 | 2.221 | 0.868 | 0.461
