w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
3.980, 0.0 | 2.720 | 1.125 | 0.585
3.980, 1.0 | 2.719 | 1.125 | 0.585
3.980, 2.0 | 2.719 | 1.125 | 0.584
3.980, 3.0 | 2.718 | 1.124 | 0.583
3.980, 4.0 | 2.717 | 1.124 | 0.583
3.980, 5.0 | 2.716 | 1.124 | 0.582
3.980, 6.0 | 2.716 | 1.124 | 0.581
3.980, 7.0 | 2.715 | 1.124 | 0.581
3.980, 8.0 | 2.714 | 1.124 | 0.580
3.980, 9.0 | 2.714 | 1.124 | 0.579
3.980, 10.0 | 2.713 | 1.124 | 0.579
3.980, 11.0 | 2.713 | 1.125 | 0.578
3.980, 12.0 | 2.712 | 1.125 | 0.578
3.980, 13.0 | 2.712 | 1.125 | 0.577
3.980, 14.0 | 2.712 | 1.125 | 0.577
3.980, 15.0 | 2.711 | 1.125 | 0.576
3.980, 16.0 | 2.711 | 1.126 | 0.575
3.980, 17.0 | 2.711 | 1.126 | 0.575
3.980, 18.0 | 2.711 | 1.126 | 0.574
3.980, 19.0 | 2.711 | 1.127 | 0.574
3.980, 20.0 | 2.711 | 1.127 | 0.574
3.990, 0.0 | 2.727 | 1.130 | 0.587
3.990, 1.0 | 2.726 | 1.129 | 0.587
3.990, 2.0 | 2.725 | 1.129 | 0.586
3.990, 3.0 | 2.724 | 1.129 | 0.585
3.990, 4.0 | 2.724 | 1.129 | 0.585
3.990, 5.0 | 2.723 | 1.129 | 0.584
3.990, 6.0 | 2.722 | 1.129 | 0.583
3.990, 7.0 | 2.722 | 1.129 | 0.583
3.990, 8.0 | 2.721 | 1.129 | 0.582
3.990, 9.0 | 2.721 | 1.129 | 0.581
3.990, 10.0 | 2.720 | 1.129 | 0.581
3.990, 11.0 | 2.720 | 1.129 | 0.580
3.990, 12.0 | 2.719 | 1.129 | 0.580
3.990, 13.0 | 2.719 | 1.130 | 0.579
3.990, 14.0 | 2.719 | 1.130 | 0.579
3.990, 15.0 | 2.718 | 1.130 | 0.578
3.990, 16.0 | 2.718 | 1.130 | 0.578
3.990, 17.0 | 2.718 | 1.131 | 0.577
3.990, 18.0 | 2.718 | 1.131 | 0.577
3.990, 19.0 | 2.718 | 1.132 | 0.576
3.990, 20.0 | 2.718 | 1.132 | 0.576
4.000, 0.0 | 2.734 | 1.134 | 0.589
4.000, 1.0 | 2.733 | 1.134 | 0.589
4.000, 2.0 | 2.732 | 1.134 | 0.588
4.000, 3.0 | 2.731 | 1.134 | 0.587
4.000, 4.0 | 2.730 | 1.134 | 0.587
4.000, 5.0 | 2.730 | 1.134 | 0.586
4.000, 6.0 | 2.729 | 1.134 | 0.585
4.000, 7.0 | 2.728 | 1.134 | 0.585
4.000, 8.0 | 2.728 | 1.134 | 0.584
4.000, 9.0 | 2.727 | 1.134 | 0.583
4.000, 10.0 | 2.727 | 1.134 | 0.583
4.000, 11.0 | 2.726 | 1.134 | 0.582
4.000, 12.0 | 2.726 | 1.134 | 0.582
4.000, 13.0 | 2.726 | 1.134 | 0.581
4.000, 14.0 | 2.725 | 1.135 | 0.581
4.000, 15.0 | 2.725 | 1.135 | 0.580
4.000, 16.0 | 2.725 | 1.135 | 0.580
4.000, 17.0 | 2.725 | 1.136 | 0.579
4.000, 18.0 | 2.725 | 1.136 | 0.579
4.000, 19.0 | 2.724 | 1.136 | 0.578
4.000, 20.0 | 2.724 | 1.137 | 0.578

BEST OVERALL RESULT:
w0 = 3.350 [um]
z0 = 20.000 [um]
Pump FWHM = 2.282 [um]
Probe FWHM = 0.897 [um]
Error = 0.375 [um]
